Front,Back,Tags
What is the primary function of the cerebellum?,"Coordinates voluntary movements, maintains balance, and supports motor learning",PSYC2240 Chapter2 Neuroanatomy
What characterizes the neocortex?,Six-layered outer brain structure responsible for higher cognitive functions,PSYC2240 Chapter2 Neuroanatomy
What are the main components of the brainstem?,"Pons, medulla, reticular formation, and midbrain structures",PSYC2240 Chapter2 Neuroanatomy
What is the function of Purkinje cells?,Distinctive cerebellar neurons that carry information from cerebellum to rest of brain,PSYC2240 Chapter3 Neurons
What distinguishes pyramidal cells?,Cortical neurons with pyramid-shaped bodies and long axons carrying cortical output,PSYC2240 Chapter3 Neurons
What is neuroplasticity?,The brain's ability to reorganize and form new neural connections throughout life,PSYC2240 Chapter2 Plasticity
What causes Parkinson's disease?,Loss of dopamine neurons in the substantia nigra affecting movement control,PSYC2240 Chapter1 Clinical
What is the locked-in syndrome?,Patient is aware and awake but cannot move or speak (eyes can move),PSYC2240 Chapter1 Clinical
What is the function of the temporal lobe?,"Processes auditory information, language, and memory formation",PSYC2240 Chapter2 Neuroanatomy
What distinguishes white matter from grey matter?,White matter contains myelinated axons; grey matter contains cell bodies and capillaries,PSYC2240 Chapter2 Neuroanatomy
What is the role of the reticular formation?,"Controls sleep-wake cycles, arousal, and consciousness",PSYC2240 Chapter2 Neuroanatomy
What characterizes cerebellar agenesis?,"Developmental condition where cerebellum fails to form, affecting 80% of neurons",PSYC2240 Chapter2 Clinical
What is embodied behaviour theory?,Movement and perception are central to communication and understanding others,PSYC2240 Chapter1 Theory
How do brain cell connections evolve with larger brains?,Neurons representing primary functions aggregate to maintain local connections,PSYC2240 Chapter1 Evolution
What distinguishes lissencephalic from gyrencephalic brains?,Lissencephalic brains are smooth; gyrencephalic brains have folded cortex,PSYC2240 Chapter2 Neuroanatomy
